PROD TYPE,NAME,ORDER_ID,BOXES,PALLETS,SHIPPED_DATE,SHORT_POSTCODE,Total Pallets,POSTCODE,Distance
AMBCONTROL,ALLOGA UK,0082210856,0,17,2023-01-03,NG,17,NG17 1BX,12.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082230608,0,1,2023-01-03,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082230623,0,1,2023-01-03,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082230624,4,0,2023-01-03,NG,4,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082231447,0,2,2023-01-03,NG,2,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082231502,1,0,2023-01-03,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082234039,0,1,2023-01-03,NG,1,NG7 2SD,29.8
AMBCONTROL,ALLOGA UK,0082197867,0,1,2023-01-04,NG,1,NG17 1BX,12.2
AMBIENT,BOOTS COMPANY PLC (SSC),0082230606,0,4,2023-01-04,NG,4,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233902,0,4,2023-01-04,NG,4,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233904,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233906,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233907,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233909,0,2,2023-01-04,NG,2,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082233914,1,0,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233915,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082233917,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082233920,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082234031,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082234032,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082234034,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082234035,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBCONTROL,BOOTS COMPANY PLC (SSC),0082234037,0,1,2023-01-04,NG,1,NG7 2SD,29.8
AMBIENT,BOOTS COMPANY PLC (SSC),0082234056,0,2,2023-01-04,NG,2,NG7 2SD,29.8
